year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2012-10-18,134122.87163991175,811572.230026943,2133864.615871499,4483978.051589123,3609230.9406059845,130069.71665823304
2012-10-19,134126.19970104832,811554.2230438205,2133929.7089740434,4484114.127072212,3609313.3959570127,130054.89274671566
2012-10-20,134129.46308606776,811536.5905809532,2133996.1795185474,4484254.0480641965,3609398.9665902285,130040.144898876
2012-10-21,134132.66179497,811519.3326383402,2134064.0275050104,4484397.814565074,3609487.6525056297,130025.47311471397
2012-10-22,134135.79582775506,811502.4492159825,2134133.2529334337,4484545.426574845,3609579.4537032177,130010.87739422967
2012-10-23,134138.86518442296,811485.9403138795,2134203.8558038156,4484696.884093507,3609674.3701829906,129996.35773742302
2012-10-24,134141.8698649737,811469.8059320315,2134275.836116158,4484852.187121066,3609772.401944951,129981.91414429409
2012-10-25,134144.80986940727,811454.0460704383,2134349.193870459,4485011.3356575165,3609873.5489890976,129967.54661484281
2012-10-26,134147.68519772362,811438.6607290999,2134423.9290667204,4485174.329702861,3609977.81131543,129953.25514906924
2012-10-27,134150.49584992285,811423.6499080164,2134500.041704941,4485341.169257098,3610085.188923949,129939.03974697333
2012-10-28,134153.24182600484,811409.0136071877,2134577.5317851207,4485511.854320229,3610195.681814654,129924.9004085551
2012-10-29,134155.9231259697,811394.751826614,2134656.3993072608,4485686.384892252,3610309.2899875455,129910.83713381457
2012-10-30,134158.5397498174,811380.8645662951,2134736.6442713593,4485864.76097317,3610426.0134426234,129896.84992275172
2012-10-31,134161.0916975479,811367.351826231,2134818.266677418,4486046.982562981,3610545.8521798863,129882.93877536654
2012-11-01,134163.57896916126,811354.2136064216,2134901.266525436,4486233.049661685,3610668.806199337,129869.10369165904
2012-11-02,134166.0015646574,811341.4499068675,2134985.643815414,4486422.962269284,3610794.875500974,129855.34467162925
2012-11-03,134168.35948403642,811329.0607275679,2135071.3985473514,4486616.720385774,3610924.060084796,129841.66171527712
