year,r_under_0.1,r_0.2-0.4,r_0.5-0.7,r_0.8-1.0,r_1.1-1.5,r_1.6-2.0
2011-04-14,148073.74902856303,818643.0383044383,2073627.583453775,4437554.578644033,3546345.954899389,126855.23082223456
2011-04-15,148016.23413514564,818696.0536405505,2073917.6649111086,4438161.468458477,3546784.0249148956,126822.74442792134
2011-04-16,147958.82719858966,818748.8483906497,2074206.9922248002,4438766.454066843,3547220.5748140286,126790.28877867226
2011-04-17,147901.528218895,818801.422554736,2074495.5653948493,4439369.535469131,3547655.6045967876,126757.86387448732
2011-04-18,147844.3371960617,818853.7761328095,2074783.3844212564,4439970.71266534,3548089.114263172,126725.46971536652
2011-04-19,147787.25413008977,818905.90912487,2075070.4493040207,4440569.985655471,3548521.1038131802,126693.10630130983
2011-04-20,147730.2790209792,818957.8215309177,2075356.7600431428,4441167.354439524,3548951.573246815,126660.7736323173
2011-04-21,147673.41186873004,819009.5133509526,2075642.3166386231,4441762.819017498,3549380.522564076,126628.47170838891
2011-04-22,147616.65267334215,819060.9845849746,2075927.1190904602,4442356.379389393,3549807.951764961,126596.20052952463
2011-04-23,147560.00143481567,819112.2352329838,2076211.1673986558,4442948.035555209,3550233.860849472,126563.96009572451
2011-04-24,147503.4581531506,819163.2652949801,2076494.4615632086,4443537.787514949,3550658.2498176084,126531.75040698852
2011-04-25,147447.02282834682,819214.0747709635,2076777.001584119,4444125.635268609,3551081.1186693707,126499.57146331664
2011-04-26,147390.69546040444,819264.6636609343,2077058.7874613877,4444711.578816191,3551502.467404759,126467.42326470892
2011-04-27,147334.4760493234,819315.0319648919,2077339.819195013,4445295.618157694,3551922.296023771,126435.30581116532
2011-04-28,147278.36459510372,819365.1796828368,2077620.0967849966,4445877.753293118,3552340.6045264094,126403.21910268586
2011-04-29,147222.36109774542,819415.1068147687,2077899.6202313378,4446457.984222465,3552757.3929126738,126371.16313927055
2011-04-30,147166.46555724842,819464.8133606879,2078178.3895340369,4447036.310945733,3553172.6611825624,126339.13792091934
2011-05-01,147110.67797361285,819514.2993205942,2078456.4046930934,4447612.733462922,3553586.4093360775,126307.14344763229
2011-05-02,147054.99834683863,819563.5646944876,2078733.6657085076,4448187.2517740335,3553998.6373732174,126275.17971940938
2011-05-03,146999.42667692577,819612.6094823681,2079010.1725802794,4448759.865879066,3554409.345293983,126243.2467362506
2011-05-04,146943.96296387422,819661.4336842358,2079285.9253084087,4449330.57577802,3554818.533098374,126211.34449815593
2011-05-05,146888.60720768408,819710.0373000907,2079560.923892896,4449899.381470895,3555226.2007863903,126179.47300512542
2011-05-06,146833.35940835532,819758.4203299326,2079835.1683337407,4450466.282957693,3555632.3483580323,126147.63225715904
2011-05-07,146778.21956588788,819806.5827737617,2080108.6586309432,4451031.280238411,3556036.9758132994,126115.8222542568
2011-05-08,146723.18768028182,819854.5246315779,2080381.3947845032,4451594.373313052,3556440.083152192,126084.04299641868
2011-05-09,146668.2637515371,819902.2459033813,2080653.376794421,4452155.562181613,3556841.670374711,126052.2944836447
2011-05-10,146613.44777965374,819949.7465891718,2080924.6046606966,4452714.846844097,3557241.7374808546,126020.57671593488
2011-05-11,146558.73976463175,819997.0266889493,2081195.0783833296,4453272.227300501,3557640.2844706234,125988.88969328914
2011-05-12,146504.13970647115,820044.0862027142,2081464.7979623205,4453827.703550828,3558037.311344018,125957.23341570757
2011-05-13,146449.64760517186,820090.9251304661,2081733.7633976687,4454381.275595076,3558432.8181010387,125925.60788319012
2011-05-14,146395.263460734,820137.543472205,2082001.9746893751,4454932.943433245,3558826.804741684,125894.01309573684
2011-05-15,146340.98727315743,820183.9412279312,2082269.4318374384,4455482.7070653355,3559219.2712659547,125862.44905334763
2011-05-16,146286.81904244225,820230.1183976445,2082536.1348418596,4456030.566491349,3559610.217673851,125830.9157560226
2011-05-17,146232.75876858845,820276.0749813452,2082802.0837026392,4456576.521711283,3559999.6439653733,125799.41320376172
2011-05-18,146178.80645159597,820321.8109790327,2083067.278419776,4457120.572725139,3560387.55014052,125767.94139656497
2011-05-19,146124.9620914649,820367.3263907074,2083331.71899327,4457662.719532915,3560773.936199293,125736.50033443232
2011-05-20,146071.22568819515,820412.6212163693,2083595.4054231225,4458202.962134615,3561158.8021416916,125705.09001736385
2011-05-21,146017.59724178677,820457.6954560183,2083858.337709332,4458741.300530235,3561542.1479677144,125673.71044535945
2011-05-22,145964.07675223978,820502.5491096544,2084120.5158518995,4459277.7347197775,3561923.973677364,125642.36161841924
